title,studio,domestic_gross_x,foreign_gross,year,id_x,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,Unnamed: 0,genre_ids,id_y,original_language,original_title,popularity,vote_average,vote_count
Inception,WB,292600000.0,535700000,2010,38,2010-07-16,Inception,"$160,000,000","$292,576,195","$835,524,642",4,"[28, 878, 12]",27205,en,Inception,27.92,8.3,22186
Iron Man 2,Par.,312400000.0,311500000,2010,15,2010-05-07,Iron Man 2,"$170,000,000","$312,433,331","$621,156,389",2,"[12, 28, 878]",10138,en,Iron Man 2,28.515,6.8,12368
Tangled,BV,200800000.0,391000000,2010,15,2010-11-24,Tangled,"$260,000,000","$200,821,936","$586,477,240",13,"[16, 10751]",38757,en,Tangled,21.511,7.5,6407
Despicable Me,Uni.,251500000.0,291600000,2010,50,2010-07-09,Despicable Me,"$69,000,000","$251,513,985","$543,464,573",8,"[16, 10751, 35]",20352,en,Despicable Me,23.673000000000002,7.2,10057
How to Train Your Dragon,P/DW,217600000.0,277300000,2010,30,2010-03-26,How to Train Your Dragon,"$165,000,000","$217,581,232","$494,870,992",1,"[14, 12, 16, 10751]",10191,en,How to Train Your Dragon,28.734,7.7,7610
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,104400000.0,311300000,2010,48,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$155,000,000","$104,386,950","$418,186,950",22,"[12, 10751, 14]",10140,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,6.3,3196
Black Swan,FoxS,107000000.0,222400000,2010,46,2010-12-03,Black Swan,"$13,000,000","$106,954,678","$331,266,710",47,"[18, 53]",44214,en,Black Swan,13.745,7.6,8374
Robin Hood,Uni.,105300000.0,216400000,2010,39,2010-05-14,Robin Hood,"$210,000,000","$105,487,148","$322,459,006",36,"[28, 12, 18]",20662,en,Robin Hood,15.444,6.3,2569
The Last Airbender,Par.,131800000.0,187900000,2010,83,2010-07-01,The Last Airbender,"$150,000,000","$131,772,187","$319,713,881",27,"[28, 12, 10751, 14]",10196,en,The Last Airbender,16.595,4.6,2143
Resident Evil: Afterlife,SGem,60100000.0,240100000,2010,70,2010-09-10,Resident Evil: Afterlife,"$57,500,000","$60,128,566","$295,874,190",1629,"[28, 12, 27, 878]",35791,en,Resident Evil: Afterlife,0.667,5.9,2119
Salt,Sony,118300000.0,175200000,2010,50,2010-07-23,Salt,"$130,000,000","$118,311,368","$290,650,494",63,"[28, 9648, 53]",27576,en,Salt,13.025,6.3,3240
Sex and the City 2,WB (NL),95300000.0,193000000,2010,16,2010-05-27,Sex and the City 2,"$95,000,000","$95,347,692","$294,680,778",137,"[35, 18, 10749]",37786,en,Sex and the City 2,9.986,5.9,809
The Tourist,Sony,67600000.0,210700000,2010,85,2010-12-10,The Tourist,"$100,000,000","$67,631,157","$278,731,369",118,"[28, 53, 10749]",37710,en,The Tourist,10.307,6.1,3133
True Grit,Par.,171200000.0,81000000,2010,29,2010-12-22,True Grit,"$35,000,000","$171,243,005","$252,276,928",59,"[18, 12, 37]",44264,en,True Grit,13.118,7.2,2816
Gulliver's Travels,Fox,42800000.0,194600000,2010,13,2010-12-25,Gulliver's Travels,"$112,000,000","$42,779,261","$232,017,848",105,"[35, 12, 10751, 14]",38745,en,Gulliver's Travels,10.767999999999999,5.1,1282
The Social Network,Sony,97000000.0,128000000,2010,91,2010-10-01,The Social Network,"$40,000,000","$96,962,694","$224,922,135",29,[18],37799,en,The Social Network,15.889000000000001,7.2,6116
Yogi Bear,WB,100200000.0,101300000,2010,62,2010-12-17,Yogi Bear,"$80,000,000","$100,246,011","$204,774,690",173,"[35, 10751, 16, 12]",41515,en,Yogi Bear,9.096,5.3,387
The A-Team,Fox,77200000.0,100000000,2010,32,2010-06-11,The A-Team,"$110,000,000","$77,222,099","$177,241,171",24,"[53, 28, 12, 35, 80]",34544,en,The A-Team,17.097,6.3,2703
The Other Guys,Sony,119200000.0,51200000,2010,74,2010-08-06,The Other Guys,"$100,000,000","$119,219,978","$170,936,470",51,"[28, 35, 80]",27581,en,The Other Guys,13.508,6.2,2187
Unstoppable,Fox,81600000.0,86200000,2010,19,2010-11-12,Unstoppable,"$95,000,000","$81,562,942","$165,720,921",46,"[28, 53]",44048,en,Unstoppable,14.01,6.4,1913
The Town,WB,92200000.0,61800000,2010,92,2010-09-17,The Town,"$37,000,000","$92,186,262","$152,566,881",52,"[80, 18, 53]",23168,en,The Town,13.475999999999999,7.1,2386
Legend of the Guardians: The Owls of Ga'Hoole,WB,55700000.0,84400000,2010,90,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,"$100,000,000","$55,675,313","$139,716,717",106,"[16, 12, 10751, 14]",41216,en,Legend of the Guardians: The Owls of Ga'Hoole,10.754000000000001,6.6,1223
The Wolfman,Uni.,62000000.0,77800000,2010,91,2010-02-12,The Wolfman,"$150,000,000","$62,189,884","$142,634,358",45,[27],7978,en,The Wolfman,14.03,5.7,1009
The Bounty Hunter,Sony,67099999.0,69300000,2010,73,2010-03-19,The Bounty Hunter,"$45,000,000","$67,061,228","$135,808,837",140,"[28, 35, 18]",27573,en,The Bounty Hunter,9.861,5.7,1627
Cats & Dogs: The Revenge of Kitty Galore,WB,43600000.0,68900000,2010,17,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,"$85,000,000","$43,585,753","$113,026,383",115,"[35, 10751, 28, 14]",39691,en,Cats & Dogs: The Revenge of Kitty Galore,10.544,4.9,273
Tooth Fairy,Fox,60000000.0,52400000,2010,23,2010-01-22,Tooth Fairy,"$48,000,000","$60,022,256","$112,610,386",68,"[35, 10751, 14]",23023,en,Tooth Fairy,12.65,5.3,1058
Killers,LGF,47100000.0,51100000,2010,54,2010-06-04,Killers,"$75,000,000","$47,059,963","$95,572,749",123,"[28, 35, 53, 10749]",37821,en,Killers,10.221,5.8,1314
Kick-Ass,LGF,48100000.0,48100000,2010,54,2010-04-16,Kick-Ass,"$28,000,000","$48,071,303","$97,531,134",61,"[28, 80]",23483,en,Kick-Ass,13.08,7.1,7540
